codigo;cod_item;vlr_venda;qnt;percentual_desconto;importacao;franquia
434;21;0.05;1;0;0;1.0
435;8;0.05;1;0;0;
436;12;0.05;1;0;0;
437;10;0.05;1;0;0;
438;11;0.05;1;0;0;
439;13;0.05;1;0;0;
440;18;0.05;1;0;0;
441;14;0.05;1;0;0;
442;16;0.05;1;0;0;
443;17;0.05;1;0;0;
447;10;0.05;1;0;0;
454;21;0.05;1;0;0;1.0
455;8;0.05;1;0;0;
456;12;0.05;1;0;0;
457;10;0.05;1;0;0;
458;11;0.05;1;0;0;
459;13;0.05;1;0;0;
460;18;0.05;1;0;0;
461;14;0.05;1;0;0;
462;16;0.05;1;0;0;
463;17;0.05;1;0;0;
473;21;0.0;10;0;0;2000.0
474;9;0.0;10;0;0;
475;13;0.0;10;0;0;
476;18;0.0;10;0;0;
477;16;0.0;10;0;0;
480;21;0.05;1;0;0;1.0
481;8;0.05;1;0;0;
482;21;0.05;1;0;0;1.0
483;8;0.05;1;0;0;
484;21;0.1;2;0;0;500.0
485;8;0.1;2;0;0;
486;10;0.1;2;0;0;
489;10;0.05;1;0;0;
490;21;0.05;1;0;0;500.0
491;8;0.05;1;0;0;
492;10;0.05;1;0;0;
496;10;0.05;1;0;0;
500;10;0.05;1;0;0;
501;21;0.05;1;0;0;500.0
502;8;0.05;1;0;0;
503;12;0.05;1;0;0;
504;10;0.05;1;0;0;
505;11;0.05;1;0;0;
506;13;78.65;3;0;0;
507;18;0.05;1;0;0;
508;14;0.05;1;0;0;
509;16;0.05;1;0;0;
510;17;0.05;1;0;0;
511;21;0.0;4;0;0;50.0
512;8;0.0;4;0;0;
513;10;0.0;4;0;0;
514;13;0.0;4;0;0;
515;22;0.1;1;0;0;50.0
516;9;0.15;2;0;0;
517;18;0.0;3;0;0;
520;10;0.0;454;0;0;
521;22;599.85;464;0;0;50.0
522;9;1850.0;454;0;0;
523;10;0.0;454;0;0;
524;11;0.0;58;0;0;
525;13;0.0;454;0;0;
526;18;0.0;464;0;0;
527;16;0.0;226;0;0;
528;17;0.0;454;0;0;
529;21;0.0;20;0;0;500.0
530;9;0.0;20;0;0;
531;13;0.0;10;0;0;
532;18;0.0;20;0;0;
533;16;0.0;10;0;0;
