cod_precificacao;acao;status;dt_ultima_atualizacao;dt_criacao
107;I;A;14/05/25 16:02:04;14/05/25 16:02:04
109;I;A;14/05/25 16:02:04;14/05/25 16:02:04
106;I;A;14/05/25 16:54:25;14/05/25 16:54:25
105;I;A;14/05/25 16:56:14;14/05/25 16:56:14
106;I;A;14/05/25 17:07:59;14/05/25 17:07:59
106;I;A;14/05/25 17:15:09;14/05/25 17:15:09
106;I;A;14/05/25 17:17:45;14/05/25 17:17:45
110;E;A;14/05/25 17:20:19;14/05/25 17:20:19
111;I;A;14/05/25 17:38:08;14/05/25 17:38:08
103;I;A;22/04/25 10:17;22/04/25 10:17
104;I;A;22/04/25 17:52;22/04/25 17:52
105;I;A;22/04/25 17:52;22/04/25 17:52
111;E;A;14/05/25 17:44:58;14/05/25 17:44:58
111;E;A;14/05/25 17:46:21;14/05/25 17:46:21
111;I;A;14/05/25 17:46:21;14/05/25 17:46:21
111;E;A;14/05/25 17:49:01;14/05/25 17:49:01
111;E;A;14/05/25 17:49:41;14/05/25 17:49:41
111;I;A;14/05/25 17:49:41;14/05/25 17:49:41
111;E;A;14/05/25 17:55:45;14/05/25 17:55:45
111;I;A;14/05/25 17:55:45;14/05/25 17:55:45
111;E;A;14/05/25 17:57:08;14/05/25 17:57:08
111;I;A;14/05/25 17:57:08;14/05/25 17:57:08
111;E;A;14/05/25 17:58:17;14/05/25 17:58:17
111;I;A;14/05/25 17:58:17;14/05/25 17:58:17
111;E;A;14/05/25 17:58:38;14/05/25 17:58:38
111;I;A;14/05/25 17:58:38;14/05/25 17:58:38
112;I;A;14/05/25 17:59:35;14/05/25 17:59:35
112;E;A;14/05/25 18:00:03;14/05/25 18:00:03
112;I;A;14/05/25 18:00:03;14/05/25 18:00:03
103;E;A;16/05/25 16:43:03;16/05/25 16:43:03
103;I;A;16/05/25 16:43:03;16/05/25 16:43:03
103;E;A;16/05/25 16:47:03;16/05/25 16:47:03
103;I;A;16/05/25 16:47:03;16/05/25 16:47:03
104;E;A;16/05/25 16:47:38;16/05/25 16:47:38
104;I;A;16/05/25 16:47:38;16/05/25 16:47:38
104;E;A;16/05/25 16:47:56;16/05/25 16:47:56
104;I;A;16/05/25 16:47:56;16/05/25 16:47:56
104;E;A;16/05/25 16:48:25;16/05/25 16:48:25
104;I;A;16/05/25 16:48:25;16/05/25 16:48:25
106;E;A;16/05/25 16:48:49;16/05/25 16:48:49
106;I;A;16/05/25 16:48:49;16/05/25 16:48:49
107;E;A;16/05/25 16:58:51;16/05/25 16:58:51
107;I;A;16/05/25 16:58:52;16/05/25 16:58:52
107;E;A;20/05/25 18:17:18;20/05/25 18:17:18
107;I;A;20/05/25 18:17:18;20/05/25 18:17:18
107;E;A;20/05/25 18:22:03;20/05/25 18:22:03
107;I;A;20/05/25 18:22:03;20/05/25 18:22:03
107;E;A;20/05/25 18:24:00;20/05/25 18:24:00
107;I;A;20/05/25 18:24:00;20/05/25 18:24:00
107;E;A;20/05/25 18:31:39;20/05/25 18:31:39
107;I;A;20/05/25 18:31:39;20/05/25 18:31:39
